,EpochNumber,SumOfValues
0,88.0,41.80568132895812
0,89.0,41.80253055234911
0,90.0,41.807343535091874
0,91.0,41.80739698052276
0,92.0,41.90466564158671
0,93.0,41.8186223283219
0,94.0,41.81862220070991
0,95.0,41.81876136190234
0,96.0,41.80994477832903
0,97.0,41.80980209725272
0,98.0,41.80768097211472
0,99.0,42.81454485660807
0,100.0,42.81116681941855
0,101.0,42.80844648725119
0,102.0,42.80755345059099
0,103.0,43.77535993375265
0,104.0,44.80192526262047
0,105.0,45.818939999952704
0,106.0,46.84440785751278
0,107.0,47.855038967035085
0,108.0,47.90098364948645
0,109.0,51.917130721316894
0,110.0,53.857265397691975
0,111.0,59.97203366038518
0,112.0,62.91201380064987
0,113.0,70.77418363087864
0,114.0,72.87145957106273
0,115.0,73.8780982301228
0,116.0,73.90691381192507
0,117.0,76.93584738879179
0,118.0,81.06206774747884
0,119.0,85.78724949895167
0,120.0,87.78185462149429
0,121.0,90.59676793774034
0,122.0,89.97742886927738
0,123.0,93.99501779308025
0,124.0,95.87316296224138
0,125.0,100.61115428802134
0,126.0,101.79519867596453
0,127.0,105.57398653477833
0,128.0,110.81493159353613
0,129.0,114.03242344800375
0,130.0,116.55559026255159
0,131.0,116.63237430553133
0,132.0,118.66316326151579
0,133.0,123.498395945342
0,134.0,128.38783820825782
0,135.0,130.99005345652543
0,136.0,134.63200698992787
0,137.0,134.77667538164735
0,138.0,139.71046800971217
0,139.0,141.89891529503183
0,140.0,140.93731374441458
0,141.0,143.53704767542354
0,142.0,141.94089066918772
0,143.0,144.7917628603662
0,144.0,144.79510377765698
0,145.0,146.73416302177708
0,146.0,147.76078995867493
0,147.0,147.75905062443266
0,148.0,148.40816313330237
0,149.0,150.43584238539896
0,150.0,149.69409990402082
0,151.0,149.84960555293642
0,152.0,149.89877485849468
0,153.0,150.94175152416685
0,154.0,151.54890757901973
0,155.0,150.71210309234945
0,156.0,151.86877469078047
0,157.0,155.53537519042808
0,158.0,156.96353512432938
0,159.0,157.3866991772066
0,160.0,163.6507342610136
0,161.0,163.48094757593435
0,162.0,163.67423482720622
0,163.0,169.02625494902907
0,164.0,168.79789407386892
0,165.0,168.68622646510454
0,166.0,169.3489266325154
0,167.0,173.36004436455005
0,168.0,173.24375838385924
0,169.0,176.267661309544
0,170.0,175.40757723988588
0,171.0,175.53142323137013
0,172.0,175.49367223198
0,173.0,177.422228026969
0,174.0,177.62970492198855
0,175.0,178.14481509091806
0,176.0,176.86626809940591
0,177.0,178.4045769262548
0,178.0,178.12645957190227
0,179.0,177.23499243046498
0,180.0,177.2423109826011
0,181.0,176.3497600045054
0,182.0,178.58802084814744
0,183.0,181.98127424733727
0,184.0,183.26402181721227
0,185.0,183.46367284235254
0,186.0,183.37745471362172
0,187.0,184.38909727183557
0,188.0,185.31539953572997
0,189.0,184.86224513855058
0,190.0,184.3433184053614
0,191.0,185.17194441800046
0,192.0,185.42599006532834
0,193.0,185.42075872800973
0,194.0,186.32794366541856
0,195.0,186.70991564708038
0,196.0,186.0238494269713
0,197.0,185.37323177083346
0,198.0,186.35428284098134
0,199.0,185.81834229958287
0,200.0,188.42966875692272
0,201.0,187.63434511379685
0,202.0,188.4382027196419
0,203.0,188.29127300352977
